Stations,LAT,LON,Eng_Location
南砂町駅,35.668659999999996,139.83083,"Minami-Sunamachi Station, Japan"
尾久駅,35.746815000000005,139.75388,"Oku Station, １丁目-３-9 昭和町 北区 東京都 114-0011, Japan"
高円寺駅,35.705303,139.64967,"Kōenji Station, 4 Chome Koenjiminami, 杉並区 Tokyo, Japan"
神楽坂駅,35.70382,139.73451,"Kagurazaka Station, Japan"
豊島園駅,35.742090000000005,139.64919,"Japan, 〒176-0001 Tōkyō-to, Nerima City, Nerima, 4-chōme, 豊島園"
下丸子駅,35.571217,139.6858,"Shimomaruko Station, Japan"
石神井公園駅,35.743645,139.60655,"Shakujiikoen Station, Japan"
富士見台駅,35.735690000000005,139.62961,"Japan, Tōkyō-to, 富士見台"
光が丘駅,35.75845,139.62894,"Hikarigaoka Station, Japan"
幡ヶ谷駅,35.67706,139.6762,"Japan, 〒151-0072 Tōkyō-to, Shibuya City, Hatagaya, 2-chōme−14, 幡ヶ谷"
阿佐ヶ谷駅,35.704871999999995,139.63586,"Asagaya Station, ３丁目-１-20 阿佐谷南 杉並区 東京都 166-0004, Japan"
中井駅,35.71506,139.68729,"Nakai Station, 2 Chome-20-8 Kamiochiai, Shinjuku City, Tokyo 161-0034, Japan"
表参道駅,35.665253,139.7121,"Omote-Sando Station, 3 Chome-6-１２ Kitaaoyama, Minato City, Tokyo 107-0061, Japan"
洗足池駅,35.59986,139.69144,"Japan, 〒145-0065 Tōkyō-to, Ota City, Higashiyukigaya, 1-chōme−1, 洗足池"
東中野駅,35.70623,139.6838,"Higashi-Nakano Station, 3 Chome-8-16 Higashinakano, Nakano City, Tokyo, Japan"
お花茶屋駅,35.747593,139.8401,"Ohanajaya Station, Japan"
渋谷駅,35.658035,139.70163,"Shibuya Station, Shibuya City, Tokyo, Japan"
東武練馬駅,35.76867,139.66238,"Japan, 〒175-0083 Tōkyō-to, Itabashi City, Tokumaru, 2-chōme, 東武練馬"
笹塚駅,35.673653,139.66713000000001,"Sasazuka, 1-chōme-57 Sasazuka, Shibuya City, Tōkyō-to 151-0073, Japan"
成城学園前駅,35.64013,139.59909,"Seijogakuen-Mae Station, Japan"
西台駅,35.78706,139.67279,"Nishidai, Itabashi City, Tōkyō-to, Japan"
蒲田駅,35.56248,139.71608,"Kamata Station, ７丁目-２-3 西蒲田 大田区 東京都 144-0051, Japan"
飯田橋駅,35.702084,139.74503,"Iidabashi Station, ４丁目-９-5 飯田橋 千代田区 東京都 102-0072, Japan"
上中里駅,35.74658,139.74696,"Kaminakazato Station, 1 Chome Kaminakazato, Kita City, Tokyo 114-0016, Japan"
西馬込駅,35.587109999999996,139.70618000000002,"Nishi-Magome Station, 2 Chome-1-6 Nishimagome, Ota City, Tokyo 143-0026, Japan"
町屋駅,35.742252,139.78139,"Machiya Station, Japan"
板橋本町駅,35.76126,139.70553999999998,"Japan, 〒173-0012 東京都板橋区大和町17−1 Itabashihoncho Station"
中延駅,35.60582,139.71275,"Nakanobu Station, 2-9-12 東中延 品川区 東京都 Japan"
押上駅,35.71033,139.8133,"Oshiage station 'SKYTREE', 1 Chome-1-65 Oshiage, Sumida City, Tokyo 131-0045, Japan"
千歳船橋駅,35.647420000000004,139.62398000000002,"Chitose-Funabashi Station, Japan"
大森駅,35.588448,139.72787,"Ōmori Station, Japan"
中村橋駅,35.736774,139.63754,"NAKAMURABASHI Sta., 4 Chome-2-1 Nakamurakita, Nerima City, Tokyo 176-0023, Japan"
広尾駅,35.65084,139.72229,"Hiroo, Japan"
谷在家駅,35.788784,139.77003,"Japan, 〒123-0863 Tōkyō-to, Adachi City, Yazaike, 3-chōme, 谷在家駅"
池尻大橋駅,35.650627,139.68459,"Ikejiri-ōhashi Station, Japan"
谷塚駅,35.814217,139.80135,"Yatsuka Station, 1 Chome-6-40 Yatsuka, Soka, Saitama 340-0028, Japan"
護国寺駅,35.719124,139.72746,"Japan, 〒112-0013 Tōkyō-to, Bunkyo City, Otowa, 2-chōme−5, 護国寺"
石川台駅,35.59693,139.68527,"Ishikawadai Station, ２丁目-２３-1 東雪谷 大田区 東京都 145-0065, Japan"
自由が丘駅,35.607273,139.66867,"Jiyugaoka Station, Japan"
経堂駅,35.651276,139.63669,"Kyodo Station, Japan"
瑞江駅,35.693264,139.89767,"Mizue, 2-chōme-2 Mizue, Edogawa City, Tōkyō-to 132-0011, Japan"
若松河田駅,35.69923,139.7181,"Wakamatsu-Kawada Sta., 10-10 Kawadacho, Shinjuku City, Tokyo 162-0054, Japan"
篠崎駅,35.70595,139.90393,"Shinozaki, 7-chōme-27 Shinozakimachi, Edogawa City, Tōkyō-to 133-0061, Japan"
上野毛駅,35.611996000000005,139.63884,"Japan, 〒158-0093 Tōkyō-to, Setagaya City, Kaminoge, 1-chōme−13, 上野毛"
大森町駅,35.57247,139.73209,"Omorimachi Station, Japan"
新橋駅,35.666378,139.75835,"Japan, 東京都 港区新橋２丁目 Shimbashi Station"
神泉駅,35.657238,139.69365,"Shinsen Station, Japan"
王子駅,35.752285,139.73824,"Ōji Station, 1 Chome-10-18 Ōji, Kita City, Tokyo 114-0002, Japan"
上北沢駅,35.66887,139.62338,"Kamikitazawa Station, Japan"
新板橋駅,35.74881,139.72017,"Shin-Itabashi Station, 1 Chome-53-17 Itabashi, Itabashi City, Tokyo 173-0004, Japan"
清澄白河駅,35.68225,139.79878,"Kiyosumi-shirakawa Station, 1 Chome-6-13 Shirakawa, Koto City, Tokyo 135-0021, Japan"
曳舟駅,35.718371999999995,139.81691,"Hikifune Station, 2-chōme-27 Higashimukōjima, Sumida City, Tōkyō-to 131-0032, Japan"
板橋駅,35.745564,139.72002,"Itabashi Station, 7-chōme-4 Takinogawa, Kita City, Tōkyō-to 114-0023, Japan"
荏原中延駅,35.609962,139.71196,"Ebara-Nakanobu Station, 2-chōme-9 Nakanobu, Shinagawa City, Tōkyō-to 142-0053, Japan"
新御徒町駅,35.70706,139.78195,"Shin-Okachimachi Station, Japan"
五反野駅,35.76617,139.80928,"Gotanno Station, 3-chōme-34 Adachi, Adachi City, Tōkyō-to 120-0015, Japan"
初台駅,35.680984,139.68618999999998,"Hatsudai Station, Japan"
西新井駅,35.777176000000004,139.79041999999998,"Japan, 〒123-0843 Tōkyō-to, Adachi City, Nishiaraisakaechō, 2-chōme−1, 西新井"
田端駅,35.73816,139.76082,"Tabata Station, Japan"
赤羽駅,35.777695,139.72057,"Japan, 赤羽駅"
地下鉄赤塚駅,35.769978,139.64403000000001,"Chikatetsu-Akatsuka Station, 1-chōme-24 Akatsukashinmachi, Itabashi City, Tōkyō-to 175-0093, Japan"
荻窪駅,35.7045,139.61906000000002,"Ogikubo Station, 1 Chome Kamiogi, Suginami City, Tokyo 167-0043, Japan"
東長崎駅,35.729954,139.68323999999998,"Higashi-Nagasaki Station, Japan"
京成小岩駅,35.742207,139.88359,"Japan, 〒133-0051 Tōkyō-to, Edogawa City, Kitakoiwa, 京成小岩"
芦花公園駅,35.670544,139.60823,"Japan, Tōkyō-to, 3-chōme−4, 芦花公園"
下北沢駅,35.661570000000005,139.66699,"Shimo-Kitazawa Station, 2 Chome-24-2 Kitazawa, Setagaya City, Tokyo 155-0031, Japan"
京急蒲田駅,35.561221999999994,139.72413999999998,"Keikyu-Kamata Station, 4 Chome-50-10 Kamata, 大田区 Tokyo 144-0052, Japan"
船堀駅,35.683796,139.86395,"Funabori Station, Japan"
雑司が谷駅,35.7203,139.71472,"Zoshigaya Station, Japan"
森下駅,35.68802,139.7982,"Japan, Tokyo, 江東区森下２丁目１７−１７ Morishita Station"
西新井大師西駅,35.78148,139.7701,"Japan, Tōkyō-to, Adachi City, 西新井大師西"
四ツ谷駅,35.686153000000004,139.73022,"Yotsuya Station, 1-chōme Yotsuya, Shinjuku City, Tōkyō-to 160-0004, Japan"
桜上水駅,35.667587,139.63191,"Sakurajosui Station, Japan"
大井町駅,35.607616,139.73466000000002,"Oimachi Station, 1 Chome Ōi, Shinagawa City, Tokyo, Japan"
赤坂駅,35.67221,139.73637,"Akasaka Station, Japan"
馬喰町駅,35.69338,139.78242,"Bakurochō Station, １丁目-７-3 日本橋馬喰町 中央区 東京都 103-0002, Japan"
八幡山駅,35.66983,139.61613,"Hachimanyama Station, １-１-8 上高井戸 杉並区 東京都 168-0074, Japan"
王子神谷駅,35.765423,139.73563000000001,"Oji-kamiya Sta., Japan"
新高円寺駅,35.697845,139.64847,"Japan, Tōkyō-to, Suginami City, 新高円寺"
後楽園駅,35.708484999999996,139.75182,"Korakuen Station, 1 Chome-2-3 Kasuga, Bunkyo City, Tokyo 112-0003, Japan"
桜新町駅,35.631873999999996,139.64502,"Japan, 〒154-0015 Tōkyō-to, Setagaya City, Sakurashinmachi, 2-chōme, 桜新町"
早稲田駅,35.705837,139.72098,"Waseda Station, Japan"
明大前駅,35.66835,139.65056,"Meidai-Mae Station, Japan"
一之江駅,35.685936,139.88298,"Ichinoe Station, Japan"
千歳烏山駅,35.668182,139.60101,"Japan, 〒157-0062 Tōkyō-to, Setagaya City, Minamikarasuyama, 千歳烏山"
東日本橋駅,35.692153999999995,139.78485,"Higashi-Nihombashi Station, 3 Chome-11-8 Higashinihonbashi, Chuo City, Tokyo 103-0004, Japan"
牛込柳町駅,35.699604,139.72571000000002,"Japan, 〒162-0053 東京都新宿区原町2丁目32 Ushigome-Yanagicho Station"
池上駅,35.572094,139.70297,"Ikegami Station, ６丁目-３-10 池上 大田区 東京都 146-0082, Japan"
落合駅,35.710625,139.68613,"Ochiai, Higashinakano, Nakano City, Tōkyō-to 164-0003, Japan"
