,Stations,LAT,LON,ShinjukuMade,ShinjukuDist,TokyoMade,TokyoDist,ShibuyaMade,ShibuyaDist,IkebukuroMade,IkebukuroDist,UenoMade,UenoDist,ShinagawaMade,ShinagawaDist,Lat_Lon
20,巣鴨駅,35.733414,139.73928999999998,26.65,7.6 km,24.15,7.1 km,29.816666666666666,17.3 km,17.883333333333333,4.4 km,16.966666666666665,4.8 km,35.1,15.3 km,"35.733414, 139.73928999999998"
21,学芸大学駅,35.628864,139.68533,27.38333333333333,11.0 km,21.716666666666665,12.8 km,16.65,4.8 km,34.03333333333333,14.0 km,26.53333333333333,16.5 km,27.85,7.5 km,"35.628864, 139.68533"
22,田町駅,35.645653,139.74765,25.5,11.0 km,11.65,5.6 km,18.616666666666667,5.3 km,30.11666666666667,17.4 km,16.466666666666665,9.3 km,10.233333333333333,3.0 km,"35.645653, 139.74765"
23,品川駅,35.62847,139.73875,32.166666666666664,9.6 km,17.3,8.8 km,18.35,5.6 km,33.46666666666667,18.6 km,22.11666666666667,12.5 km,0.0,0 km,"35.62847, 139.73875"
24,千駄木駅,35.72576,139.76335,31.3,9.4 km,19.483333333333334,5.3 km,29.08333333333333,14.8 km,24.08333333333333,7.1 km,9.35,2.7 km,27.53333333333333,14.6 km,"35.72576, 139.76335"
25,大山駅,35.74853,139.70228999999998,25.516666666666666,18.1 km,19.1,11.9 km,28.7,18.8 km,12.383333333333333,2.6 km,23.85,10.6 km,28.516666666666666,19.0 km,"35.74853, 139.70228999999998"
26,水天宮前駅,35.68299000000001,139.78516000000002,23.85,10.7 km,8.85,2.2 km,19.45,12.5 km,22.55,12.7 km,10.2,3.9 km,20.0,8.5 km,"35.68299000000001, 139.78516000000002"
27,東高円寺駅,35.705303,139.64967,18.316666666666666,5.5 km,30.0,16.6 km,24.766666666666666,11.2 km,24.98333333333333,9.5 km,41.91666666666666,14.5 km,35.96666666666667,22.0 km,"35.705303, 139.64967"
28,北綾瀬駅,35.77701,139.8321,31.91666666666667,25.5 km,19.7,15.5 km,34.9,27.8 km,24.316666666666666,19.3 km,23.16666666666667,11.5 km,29.36666666666667,22.0 km,"35.77701, 139.8321"
29,地下鉄成増駅,35.77669500000001,139.6312,34.96666666666667,21.1 km,33.083333333333336,23.8 km,37.46666666666667,24.5 km,26.88333333333333,16.0 km,37.833333333333336,22.4 km,42.5,30.8 km,"35.77669500000001, 139.6312"
30,三軒茶屋駅,35.64361599999999,139.6714,30.23333333333333,19.5 km,27.55,24.4 km,19.28333333333333,14.0 km,38.85,25.1 km,32.36666666666667,28.1 km,48.0,19.8 km,"35.64361599999999, 139.6714"
31,赤羽岩淵駅,35.783504,139.72182,31.83333333333333,14.4 km,30.066666666666666,17.1 km,34.45,17.8 km,23.86666666666667,9.4 km,32.53333333333333,11.3 km,39.48333333333333,24.2 km,"35.783504, 139.72182"
32,下高井戸駅,35.66613800000001,139.64095,13.3,6.5 km,23.75,14.8 km,18.8,9.4 km,21.91666666666667,12.2 km,27.466666666666665,20.4 km,30.0,20.1 km,"35.66613800000001, 139.64095"
33,沼袋駅,35.71915,139.6648,19.916666666666668,5.5 km,31.8,14.1 km,30.766666666666666,13.2 km,18.8,5.5 km,36.0,11.3 km,40.96666666666667,20.5 km,"35.71915, 139.6648"
34,大泉学園駅,35.749359999999996,139.58655,46.0,15.0 km,44.76666666666666,29.7 km,52.58333333333334,20.6 km,41.4,13.3 km,49.51666666666666,28.3 km,54.18333333333333,36.7 km,"35.74936, 139.58655"
35,西小山駅,35.615691999999996,139.69887,26.05,11.9 km,19.233333333333334,13.5 km,20.45,6.5 km,34.81666666666667,22.7 km,24.05,17.2 km,24.016666666666666,6.3 km,"35.615692, 139.69887"
36,代々木上原駅,35.668987,139.67986000000002,12.833333333333336,4.2 km,22.58333333333333,12.5 km,11.35,2.4 km,21.5,10.3 km,25.816666666666666,16.9 km,29.58333333333333,18.2 km,"35.668987, 139.67986000000002"
37,六本木一丁目駅,35.665462,139.739,20.483333333333334,5.9 km,7.85,6.8 km,11.933333333333335,5.7 km,24.73333333333333,13.8 km,12.666666666666664,10.5 km,13.016666666666667,7.0 km,"35.665462, 139.739"
38,錦糸町駅,35.69674000000001,139.81448,30.83333333333333,14.1 km,11.25,6.5 km,24.0,15.8 km,24.65,17.0 km,16.333333333333332,4.9 km,20.916666666666668,13.0 km,"35.69674000000001, 139.81448"
39,大崎駅,35.61985,139.7282,21.15,10.5 km,20.3,9.9 km,18.133333333333333,5.1 km,33.78333333333333,20.8 km,25.11666666666667,13.6 km,12.733333333333333,3.5 km,"35.61985, 139.7282"
40,中野駅,35.705405999999996,139.66583,15.2,4.0 km,30.11666666666667,13.6 km,27.53333333333333,11.8 km,20.9,5.9 km,38.86666666666667,12.0 km,36.083333333333336,18.9 km,"35.705406, 139.66583"
41,麻布十番駅,35.65613,139.73688,20.6,6.2 km,10.133333333333333,7.5 km,13.3,4.6 km,25.55,14.8 km,14.966666666666667,11.2 km,14.783333333333333,4.4 km,"35.65613, 139.73688"
42,雑色駅,35.549526,139.71493999999998,37.93333333333333,25.3 km,24.5,16.5 km,31.43333333333333,21.1 km,42.9,28.7 km,29.316666666666666,20.2 km,29.23333333333333,10.3 km,"35.549526, 139.71493999999998"
43,武蔵小山駅,35.620518,139.7044,21.98333333333333,10.5 km,16.316666666666666,12.6 km,17.916666666666668,5.9 km,31.91666666666667,21.8 km,21.133333333333333,16.3 km,20.483333333333334,5.2 km,"35.620518, 139.7044"
44,上板橋駅,35.763615,139.6762,28.45,16.0 km,25.816666666666666,14.8 km,35.416666666666664,21.6 km,19.08333333333333,5.4 km,30.566666666666666,13.4 km,35.21666666666667,21.8 km,"35.763615, 139.6762"
45,両国駅,35.69503800000001,139.79384,32.4,9.2 km,12.866666666666667,3.2 km,24.25,15.1 km,27.28333333333333,14.4 km,12.683333333333335,3.7 km,22.93333333333333,10.5 km,"35.69503800000001, 139.79384"
46,北千住駅,35.749676,139.80534,32.083333333333336,21.9 km,23.55,10.1 km,32.78333333333333,20.9 km,25.7,16.5 km,15.95,5.4 km,31.466666666666665,16.4 km,"35.749676, 139.80534"
47,武蔵関駅,35.72762,139.57637,41.05,15.2 km,49.86666666666667,28.4 km,46.0,18.1 km,44.0,14.6 km,54.61666666666667,27.0 km,57.2,28.9 km,"35.72762, 139.57637"
48,新小岩駅,35.717445,139.85863,32.35,25.9 km,20.15,15.9 km,37.23333333333333,30.5 km,26.63333333333333,22.0 km,23.61666666666667,11.9 km,29.816666666666666,22.4 km,"35.717445, 139.85863"
49,西新宿五丁目駅,35.689888,139.68454,7.366666666666666,1.9 km,19.383333333333333,10.7 km,16.366666666666667,5.2 km,13.666666666666664,6.4 km,27.28333333333333,12.8 km,25.35,16.1 km,"35.689888, 139.68454"
50,日暮里駅,35.728157,139.77065,35.18333333333333,10.5 km,19.7,8.3 km,28.93333333333333,19.1 km,29.63333333333333,8.8 km,10.35,2.8 km,27.61666666666667,14.6 km,"35.728157, 139.77065"
51,日の出駅,35.649162,139.75908,25.766666666666666,8.8 km,9.95,4.4 km,21.65,6.3 km,28.41666666666667,16.5 km,14.833333333333336,8.1 km,11.05,3.4 km,"35.649162, 139.75908"
52,平井駅,35.706364,139.84239,34.75,19.7 km,22.55,9.7 km,33.53333333333333,20.7 km,29.61666666666667,22.4 km,24.41666666666667,7.2 km,32.21666666666667,16.2 km,"35.706364, 139.84239"
53,西荻窪駅,35.703697,139.60019,31.55,10.0 km,34.78333333333333,20.6 km,29.55,15.3 km,40.516666666666666,14.9 km,42.86666666666667,25.4 km,45.4,25.1 km,"35.703697, 139.60019"
54,浅草橋駅,35.697243,139.78624,29.95,8.7 km,10.45,2.7 km,23.58333333333333,12.7 km,28.33333333333333,11.6 km,10.2,2.7 km,20.516666666666666,9.9 km,"35.697243, 139.78624"
55,池袋駅,35.729504,139.7109,19.33333333333333,5.3 km,21.03333333333333,10.3 km,28.3,8.7 km,0.0,0 km,27.88333333333333,7.9 km,30.43333333333333,17.4 km,"35.729504, 139.7109"
56,永福町駅,35.67627299999999,139.64262,13.166666666666664,6.9 km,23.9,15.1 km,18.666666666666668,9.8 km,22.15,12.6 km,27.35,20.8 km,29.88333333333333,20.5 km,"35.67627299999999, 139.64262"
57,戸越駅,35.614525,139.71634,21.466666666666665,16.5 km,12.233333333333333,11.8 km,16.616666666666667,5.3 km,27.816666666666666,20.9 km,17.05,15.5 km,16.55,4.5 km,"35.614525, 139.71634"
58,恵比寿駅,35.64673,139.7101,21.8,5.8 km,15.9,9.5 km,5.4833333333333325,1.4 km,29.816666666666666,17.5 km,20.716666666666665,13.2 km,23.53333333333333,6.1 km,"35.64673, 139.7101"
59,西永福駅,35.678875,139.63525,17.666666666666668,7.4 km,27.86666666666667,15.6 km,22.61666666666667,10.3 km,26.1,13.1 km,31.3,21.3 km,33.833333333333336,21.0 km,"35.678875, 139.63525"
60,南砂町駅,35.668659999999996,139.83083,30.68333333333333,17.6 km,22.466666666666665,6.6 km,29.45,18.6 km,34.016666666666666,30.0 km,21.95,11.4 km,28.13333333333333,14.1 km,"35.66866, 139.83083"
61,尾久駅,35.74681500000001,139.75388,24.7,14.3 km,25.33333333333333,10.4 km,27.18333333333333,17.6 km,16.6,9.2 km,17.733333333333334,5.7 km,32.21666666666667,24.0 km,"35.74681500000001, 139.75388"
62,高円寺駅,35.705303,139.64967,18.316666666666666,5.5 km,30.0,16.6 km,24.766666666666666,11.2 km,24.98333333333333,9.5 km,41.91666666666666,14.5 km,35.96666666666667,22.0 km,"35.705303, 139.64967"
63,神楽坂駅,35.70382,139.73451,17.283333333333335,4.3 km,20.133333333333333,5.4 km,24.5,7.0 km,20.633333333333333,9.0 km,19.916666666666668,5.4 km,28.66666666666667,13.7 km,"35.70382, 139.73451"
64,豊島園駅,35.74209000000001,139.64919,28.65,8.5 km,33.56666666666667,21.6 km,35.56666666666667,16.1 km,23.65,7.2 km,40.8,13.5 km,43.86666666666667,25.3 km,"35.74209000000001, 139.64919"
65,下丸子駅,35.571217,139.6858,36.68333333333333,16.5 km,29.466666666666665,18.2 km,33.85,11.6 km,45.06666666666667,27.3 km,34.28333333333333,21.9 km,33.8,10.9 km,"35.571217, 139.6858"
66,石神井公園駅,35.743645,139.60655,39.13333333333333,12.8 km,40.16666666666666,25.0 km,44.6,18.4 km,34.13333333333333,11.4 km,44.93333333333333,23.6 km,49.58333333333334,32.0 km,"35.743645, 139.60655"
67,富士見台駅,35.73569000000001,139.62961,32.48333333333333,10.8 km,36.4,23.7 km,39.06666666666667,16.4 km,29.95,9.2 km,41.15,22.3 km,45.81666666666667,30.7 km,"35.73569000000001, 139.62961"
68,光が丘駅,35.75845,139.62894,38.48333333333333,12.4 km,37.0,23.3 km,41.46666666666667,21.6 km,33.53333333333333,10.9 km,41.75,21.9 km,46.41666666666666,30.3 km,"35.75845, 139.62894"
69,幡ヶ谷駅,35.67706,139.6762,5.933333333333334,2.6 km,16.666666666666668,10.8 km,11.433333333333335,5.5 km,14.55,8.3 km,24.55,12.9 km,22.63333333333333,16.2 km,"35.67706, 139.6762"
70,阿佐ヶ谷駅,35.70487199999999,139.63586,21.91666666666667,6.7 km,34.81666666666667,17.6 km,29.566666666666666,12.3 km,32.1,10.7 km,49.73333333333333,15.0 km,40.78333333333333,23.0 km,"35.70487199999999, 139.63586"
71,中井駅,35.71506,139.68729,14.016666666666667,3.4 km,31.33333333333333,9.6 km,28.9,7.9 km,12.783333333333333,3.6 km,29.2,9.0 km,35.15,18.8 km,"35.71506, 139.68729"
